ProductID,ProductName,Category,Price,UnitsSold,Date,StoreLocation,PromotionApplied,Revenue
P001,Energy Drink,Beverages,182.67,12,2023-01-01,Mumbai,Yes,2192.04
P002,Protein Bar,Snacks,83.82,6,2023-01-01,Delhi,No,502.92
P003,Multivitamin,Health,127.99,3,2023-01-01,Kolkata,Yes,383.97
P004,Yoga Mat,Fitness,70.72,4,2023-01-01,Delhi,Yes,282.88
P005,Running Shoes,Apparel,85.78,8,2023-01-01,Delhi,No,686.24
P006,Sports Bottle,Accessories,19.11,0,2023-01-01,Delhi,Yes,0.0
P007,Fitness Tracker,Electronics,53.51,2,2023-01-01,Bangalore,Yes,107.02
P008,Gym Gloves,Accessories,158.74,4,2023-01-01,Bangalore,Yes,634.96
P009,Whey Protein,Health,133.54,12,2023-01-01,Kolkata,Yes,1602.48
P010,Massage Gun,Electronics,95.31,2,2023-01-01,Bangalore,No,190.62
P001,Energy Drink,Beverages,118.3,5,2023-01-02,Mumbai,No,591.5
P002,Protein Bar,Snacks,151.54,7,2023-01-02,Mumbai,Yes,1060.78
P003,Multivitamin,Health,70.42,2,2023-01-02,Bangalore,Yes,140.84
P004,Yoga Mat,Fitness,62.93,6,2023-01-02,Kolkata,No,377.58
P005,Running Shoes,Apparel,41.3,1,2023-01-02,Kolkata,No,41.3
P006,Sports Bottle,Accessories,70.13,3,2023-01-02,Bangalore,Yes,210.39
P007,Fitness Tracker,Electronics,79.17,6,2023-01-02,Bangalore,Yes,475.02
P008,Gym Gloves,Accessories,42.91,4,2023-01-02,Delhi,Yes,171.64
P009,Whey Protein,Health,175.99,5,2023-01-02,Mumbai,No,879.95
P010,Massage Gun,Electronics,88.1,7,2023-01-02,Delhi,Yes,616.7
P001,Energy Drink,Beverages,123.39,6,2023-01-03,Delhi,Yes,740.34
P002,Protein Bar,Snacks,75.48,5,2023-01-03,Mumbai,No,377.4
P003,Multivitamin,Health,74.25,5,2023-01-03,Mumbai,Yes,371.25
P004,Yoga Mat,Fitness,84.43,5,2023-01-03,Kolkata,No,422.15
P005,Running Shoes,Apparel,176.62,4,2023-01-03,Bangalore,No,706.48
P006,Sports Bottle,Accessories,77.66,3,2023-01-03,Bangalore,No,232.98
P007,Fitness Tracker,Electronics,21.17,11,2023-01-03,Mumbai,Yes,232.87
P008,Gym Gloves,Accessories,121.6,10,2023-01-03,Mumbai,Yes,1216.0
P009,Whey Protein,Health,70.15,2,2023-01-03,Kolkata,No,140.3
P010,Massage Gun,Electronics,124.5,6,2023-01-03,Delhi,Yes,747.0
P001,Energy Drink,Beverages,60.93,7,2023-01-04,Bangalore,No,426.51
P002,Protein Bar,Snacks,187.62,7,2023-01-04,Mumbai,No,1313.34
P003,Multivitamin,Health,114.27,2,2023-01-04,Mumbai,No,228.54
P004,Yoga Mat,Fitness,97.01,8,2023-01-04,Kolkata,Yes,776.08
P005,Running Shoes,Apparel,73.72,4,2023-01-04,Mumbai,Yes,294.88
P006,Sports Bottle,Accessories,30.72,13,2023-01-04,Bangalore,Yes,399.36
P007,Fitness Tracker,Electronics,149.18,6,2023-01-04,Delhi,No,895.08
P008,Gym Gloves,Accessories,177.09,7,2023-01-04,Bangalore,No,1239.63
